faq: faq
wiki: wiki
ваш: вашему
вопрос: вопросом, вопросы
группа: группы
движок: движок
доступный: доступных
задавать: задаваемые
идеально: идеально
идея: идею
использовать: использовать
казаться: кажется
коллективный: коллективного
конкретный: конкретному
который: которых
мы: нам
обращаться: обращаюсь
один: одному
остаться: останутся
ответ: ответов
писать: писать
подходить: подходит
посему: посему
поскольку: поскольку
привет: привет
равно: равно
решить: решили
сайт: сайта, сайту
сборник: сборника
смысл: смысла
составление: составления
такой: такого
хабрахабра: хабрахабр
часто: часто
человек: люди, человеку
читатель: читателям
