audacity: audacity
gnu: gnu
linux: linux
mac: mac
microsoft: microsoft
windows: windows
быть: буду
вещь: вещь
возможно: возможно
возможность: возможность
вопрос: вопросом
дать: дать
доступ: доступ
другой: другие, другими
задаться: задался
записывать: записывать
исходный: исходным
код: кодом
например: например
начинаться: начинается
неделя: неделе
новый: новая
операционный: операционными
отзыв: отзывам
открыть: откроет
подкаст: подкастов, подкасты
подкастинг: подкастинге
поскольку: поскольку
поэтому: поэтому
признательный: признателен
программа: программой, программы
публиковать: публиковать
публичный: публичный
работать: работает
распространить: распространенная
свободный: свободный
сегодня: сегодня
система: системами
совершенно: совершенно
совет: совет
судить: судя
такой: такая
удобный: удобные
хабрахабра: хабрахабр
являться: является
