адекватный: адекватные
быть: буду
воспользоваться: воспользоваться
вывод: вывод
выпад: выпады
высказывание: высказывание
делать: делать
деликатный: деликатное
желать: желающим
зайти: зайти
закрытый: закрыта
ибо: ибо
игнора: игнор
интересный: интересного, интересны
каждый: каждый
коммент: коммента
молчание: молчание
надеяться: надеюсь
общение: общения
ознакомиться: ознакомиться
означать: означающая
ответ: ответ
очень: очень
понятно: понятно
понять: понял
посмотреть: посмотреть
почему: почему
почитать: почитать
предлагать: предлагаю
просто: просто
прочитать: прочитал
рад: рад
результат: результатам, результатом
резюмирование: резюмирование
сделать: сделал, сделать
сказать: сказанного
случай: случаях
смотреть: смотрим
сюда: сюда
тема: тема
тред: треда
умный: умное
форма: форме
функция: функцией, функцию, функция
хотеться: хочется
часто: часто
человек: человек
