css: css
microformats: microformats
org: org
wiki: wiki
xhtml: xhtml
внедрение: внедрение
внедряемость: внедряемость
время: время
второй: вторую
вызывать: вызывает
данные: данных
иной: иного
информация: информация
календарь: календаря
код: код, кодом
контент: контента
лишь: лишь
любой: любому
машина: машин
микроформат: микроформата, микроформатами, микроформатов, микроформаты
модульность: модульность
набор: набор
например: например
настоящий: настоящее
описание: описания
основать: основанных
официальный: официальный
очередь: очередь
первый: первую
переосмыслить: переосмысленное
перечень: перечень
полный: полный
поощрение: поощрение
правило: правилам
практически: практически
представлять: представляют
применение: применение
принцип: принципы
проблема: проблем
простой: простых, проще
работа: работа
разметить: размеченная
разметка: разметки
разрабатывать: разрабатываемые
разработка: разработка, разработки
решение: решение
сайт: сайт
себя: собой
сервис: сервисов
сообразно: сообразно
составной: составных
суть: сути
существовать: существуют
тег: тегов
технология: технологий, технологиях
трудность: трудностей
формат: форматов
часть: частей
человек: людей, человеку
широко: широко
являться: является
