блог: блог
весь: всем
группа: группу
делать: делал, делать, делаю
другой: других
думать: думаю
засунуть: засунуть
интересно: интересно
информация: информации
качественный: качественный
колонка: колонку
который: которую
краткий: краткие
лениво: лениво
материал: материал
мнение: мнение
например: например
некуда: некуда
нужный: нужен
обзор: обзор, обзорах, обзоры
перевести: переведенные
перевод: перевод, переводы
писать: пишу
подразумевать: подразумевает
поместить: поместить
пресса: прессы
проанализировать: проанализированные
раздел: раздел
ревить: ревью
регулярный: регулярные
свой: свой
сливать: сливаю
собственный: собственное
создать: создать
стать: статей
статья: статьи
тема: теме
удовольствие: удовольствием
факт: факт
хабра: хабре
хотеть: хотите
часто: часто
человек: человек
читать: читает
чужой: чужих
