belarus: belarus
donu: donu
gomel: gomel
kazan: kazan
khabarovsk: khabarovsk
krasnodar: krasnodar
nizhny: nizhny
novgorod: novgorod
rostov: rostov
russia: russia
simferopol: simferopol
ufa: ufa
ukraine: ukraine
volgograd: volgograd
zaporozhye: zaporozhye
активность: активность
активный: активный
арифметический: арифметические
беларусь: беларуси
броситься: бросилось
ввести: введя
видеть: видим
владивосток: владивосток
возникнуть: возникла
волгоград: волгоград
выборка: выборку
выкладка: выкладке
гипотеза: гипотеза
глаз: глаза
город: город, города, городах
гугл: гугла
значит: значит
именно: именно
интернет: интернет, интернете
иркутск: иркутск
искать: ищет
использовать: используя
исследование: исследование
казань: казань
картина: картину
количество: количеством
который: которых
краснодар: краснодар
красноярск: красноярск
наверное: наверное
население: населения
непривычно: непривычно
несложный: несложные
нижний: нижний
новгород: новгород
оказаться: оказалось
остаться: оставшихся
отсутствие: отсутствие
очень: очень
первый: первой, первую
подручный: подручными
получить: получил
получиться: получилось
пользователь: пользователи
попугай: попугаи
популярность: популярность
посмотреть: посмотрев
похожий: похожую
проверить: проверить
провести: проведя
происходить: происходит
простой: проще
региональный: региональная, региональной
рост: рост
рунет: рунета
связь: связь
семь: семи
следующий: следующая, следующую
совпасть: совпали
сортировка: сортировку
способ: способом
сразу: сразу
средство: средствами
ставрополь: ставрополь
статистический: статистическое
столица: столиц
странный: странное
таблица: таблицу, таблицы
такой: таким, такое
топ: топ
точка: точек
тренд: тренд
увидеть: увидел
украина: украины
уфа: уфа
характеризовать: характеризовать
чисто: чисто
шесть: шесть
этот: этих
яндекс: яндекса, яндексе
