firefox: firefox
safari: safari
беда: беда
браузер: браузера
быть: буду
вверху: вверху
весь: весь
добавление: добавления
дом: дома
зайти: зашел
зарегистрироваться: зарегистрировался
какой: каких
кнопка: кнопок
кнопочка: кнопочки
куча: кучи
логотип: логотипом
макинтош: макинтош
найти: нашёл
неустранимый: неустранимая
облазить: облазил
организовать: организовать
поддержка: поддержку
поиск: поисках
пользоваться: пользоваться
принципиально: принципиально
работа: работы
слева: слева
ссылка: ссылок
таки: таки
текст: текстов
хабрахабра: хабрахабр
чекбокс: чекбоксов
элемент: элементов
