автор: автором
банальный: банальные
бывать: бывают
возможность: возможность
вроде: вроде
говорить: говорю
добавить: добавить
исправить: исправить
кнопка: кнопки
комментарий: комментариях
корректор: корректором
логично: логично
мелочь: мелочь
никак: никак
общий: общего
ожидать: ожидать
опечатка: опечатки
опубликовать: опубликованные
очень: очень
параллельный: параллельные
пользователь: пользователя
пользовательский: пользовательском
пост: посты
профайл: профайла
раздел: раздела, разделе
редактировать: редактировать
сделать: сделать
такой: такие
хотеться: хочется
