александр: александра
битый: битую
бурмистров: бурмистрова
быть: будем
взрослый: взрослых
вроде: вроде
группа: группы
должный: должно
дорабатываться: дорабатываться
доступный: доступны
друг: друзей
другой: другого
итак: итак
коллега: коллега, коллеги
комментарий: комментариях
крайний: крайней
мера: мере
минимум: минимум
момент: момент
например: например
начать: начать
наш: наш, наших
некрасиво: некрасиво
неудобно: неудобно
опечатка: опечаткам
остальной: остальном
относиться: относится
отсюда: отсюда
ошибка: ошибку
пароль: пароли, пароль
писать: пишите
пожалуй: пожалуй
позыв: позывам
понятно: понятно
править: править
происходить: происходит
просить: просить
профиль: профиле
работать: работает, работать
раздел: разделы
рассказать: рассказать
сайт: сайта, сайте
самый: самое
сегодня: сегодня
слово: словах
смирнов: смирнов
снять: сняли
согласно: согласно
спрашивать: спрашивал
ссылка: ссылку
также: также
текст: текст
фёдор: федор
хотя: хотя
человек: людей
