beta: beta
com: com
microsoft: microsoft
news: news
office: office
буря: бурей
возможный: возможной
возникнуть: возникшими
выпуск: выпуск
год: года
загрузить: загрузило
задержка: задержка, задержке
запланировать: запланировано
компания: компания
компьютер: компьютеры
конец: конца
корпорация: корпорацию
массовый: массовым
менее: менее
млн: млн
надеяться: надеется
негативный: негативные
неоднократно: неоднократно
неудивительный: неудивительно
обрушиться: обрушились
откладывать: откладывает
пакет: пакета
потребитель: потребителям
предложить: предложить
проблема: проблемами
продукт: продукт
проскакивать: проскакивали
ранее: ранее
сайт: сайте
свой: свои, свой
связать: связана
сообщаться: сообщается
тестирование: тестирования
фидбек: фидбеки
хотя: хотя
человек: человек
январь: январе
