subscribe: subscribe
выйти: выйти
выпуск: выпуск
выяснить: выяснить
должный: должна
знать: знает, зная
информация: информация
история: история
компьютер: компьютера
миллион: миллионы
мучиться: мучается
неведение: неведении
недоступный: недоступен
никто: никто
общественный: общественный
оставаться: остается
подготовить: подготовить
пользователь: пользователей
понимать: понимаю
попытаться: попытался
появляться: появляться
причина: причину
проблема: проблема
проверить: проверить
пытаться: пытаюсь
рабочий: рабочего
ранний: пораньше
рассылка: рассылки
сайт: сайт
сегодня: сегодня
сервер: сервер
сервис: сервиса
ситуация: ситуациях
смочь: смог
такой: таких
утро: утра
